metier.cm,pcgroup,year,Node Strength,Importance,Scaled Node Strength,Long-term Mean Node Strength,5-Year Mean Node Strength,Scaled Importance,Long-term Mean Importance,5-Year Mean Importance,Revenue,5-Year Mean Revenue,Landed Weight,5-Year Mean Landed Weight,Scaled Revenue,Long-term Mean Revenue,5-Year Mean Scaled Revenue,Scaled Landed Weight,Long-term Mean Landed Weight,5-Year Mean Scaled Landed Weight,Edge Density,Scaled Edge Density,Long-term Mean Edge Density,5-Year Mean Edge Density,CSVI
Salmon,Fort Bragg,2020,0.40501818,0.387127659,0.571486709,0.314182729,0.260106809,-0.16797971,0.423969207,0.290547436,3622537.062,1342264.153,576494.8,202739.31,0.517628133,2560986.157,-0.594267117,0.219644826,486234.0979,-0.689870142,0.466666667,-2.733188165,0.797759104,0.716190476,0.624607849
Salmon,Bodega Bay,2020,0.921287698,0.99833137,0.691298544,0.774196961,0.77700532,0.728833661,0.91641671,0.944251417,4368195.926,2826711.416,632612.93,419951.932,1.539884028,2063621.845,0.509885732,1.067912271,360841.3129,0.232272068,0.933333333,1.468048432,0.592997199,0.775238095,-0.926551317
Salmon,San Francisco,2020,0.683631066,0.977972992,1.205777494,0.512347325,0.609707134,0.645316157,0.878147217,0.944235143,5159213.318,4651561.714,594358.78,601976.154,0.779885137,3358034.113,0.560079168,0.105315619,545853.0607,0.121854462,0.571428571,-0.085064548,0.581096681,0.601904762,-1.458363724
Salmon,Monterey,2020,0.560271056,0.975788742,1.22112284,0.298466417,0.413375447,1.436184815,0.338406946,0.517121324,3232503.366,2201295.694,333288.34,276047.364,1.532671925,1556694.087,0.58954369,0.309454952,256344.8621,0.079240462,0.535714286,-0.727581141,0.575256769,0.561428571,-0.593249226
Salmon,Santa Barbara,2020,0,0.040930414,-0.707106781,0.006942872,NA,0.707106781,0.031939745,0,10509.4,24090.06,1772.86,3108.576,-0.41766594,21585.24057,0.094455834,-0.350802023,3003.519286,0.029946638,0.644444444,-1.684834611,0.798225957,0.805079365,-0.795029606
Whiting,Brookings,2020,NA,NA,NA,NA,NA,0,NA,0,811.3645931,962.3541406,381,529.6,0.369627778,600.2396475,0.633973286,0.028964222,371,0.459372566,0.866666667,0.465685463,0.794677871,0.748571429,1.417625741
Whiting,Coos Bay,2020,NA,NA,NA,NA,NA,0,NA,0,802.5291492,3320.747913,434,3449.6,-0.591867342,199799.5878,-0.584377525,-0.584245151,1828947.438,-0.583281609,0.777777778,0.076749325,0.765546218,0.716666667,0.762502767
Whiting,Eureka,2020,NA,NA,NA,NA,NA,0,NA,0,1.5,989.4684638,1882,2719.4,-0.54448793,85624.02613,-0.538205274,-0.458297046,1247808.313,-0.45798902,0.619047619,-0.568277316,0.698926237,0.64968254,0.409671276
Whiting,Fort Bragg,2020,NA,NA,NA,NA,NA,0,NA,0,0,631.9698667,2,177.8,-0.503094898,489.0536767,0.147019457,-0.780635137,2146.909091,-0.716653098,0.466666667,-2.733188165,0.797759104,0.716190476,0.624607849
Whiting,Los Angeles,2020,NA,NA,NA,NA,NA,0,NA,0,102.175,92.755,57.8,44.42,-0.52761427,491.6742014,-0.540374569,-0.496987691,179.0375,-0.551836193,0.577777778,-0.012530822,0.578567184,0.628239538,-0.955992518
Whiting,Monterey,2020,NA,NA,NA,NA,NA,0,NA,0,31.45,52.2266,292,294.44,-0.341390704,426.7627857,-0.323448107,-0.302587359,7376.657143,-0.302483146,0.535714286,-0.727581141,0.575256769,0.561428571,-0.593249226
Whiting,Morro Bay,2020,NA,NA,NA,NA,NA,0,NA,0,0,0.42,4,674.82,-0.336820333,381.225,-0.336449254,-0.838674523,1573.758333,-0.480275633,0.571428571,0.058216125,0.565312792,0.486666667,-0.264627834
Whiting,San Francisco,2020,NA,NA,NA,NA,NA,0,NA,0,620.47,2196.269289,2152,4543.6,-0.26553563,1051.168065,0.705982218,0.032864103,2061.977046,0.90595019,0.571428571,-0.085064548,0.581096681,0.601904762,-1.458363724
Whiting,Santa Barbara,2020,NA,NA,NA,NA,NA,0,NA,0,210.275,333.2581891,115.7,169.08,0.036761988,200.3247699,0.49113405,-0.222345916,173.1785714,-0.015854615,0.644444444,-1.684834611,0.798225957,0.805079365,-0.795029606
Salmon,San Diego,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555556,-0.767287536,0.644444444,0.696825397,-0.519390506
Salmon,Los Angeles,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577777778,-0.012530822,0.578567184,0.628239538,-0.955992518
Whiting,Puget Sound,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305555556,0.123279979,0.300190985,0.26994228,-0.678731792
Whiting,North WA Coast,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,-0.391287439,0.371335201,0.329206349,1.301805801
Whiting,Tillamook,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,-0.187477576,0.625770308,0.586666667,0.97949802
Whiting,Columbia River,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,-0.434262282
Whiting,Crescent City,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333,0.368936805,0.668627451,0.626666667,1.445254374
Whiting,Bodega Bay,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933333333,1.468048432,0.592997199,0.775238095,-0.926551317
Whiting,San Diego,2020,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555556,-0.767287536,0.644444444,0.696825397,-0.519390506
