IOPAC,PACFIN_PORT_CODE,Pacfin Port Name,Pacfin Port Description,Agency Name,PACFIN_LAT,PACFIN_LONG,Map_order
Brookings,ORF,ORFORD,PORT ORFORD,ODFW,42.749276,-124.498118,47
Brookings,GLD,GOLD BEACH,GOLD BEACH,ODFW,42.413297,-124.422162,48
Brookings,BRA,BROOKINGS,BROOKINGS AREA PORTS,ODFW,42.072408,-124.304909,49
Brookings,BRK,BROOKINGS,BROOKINGS,ODFW,42.072408,-124.304909,50
Crescent City,CCA,CRESCENT,CRESCENT CITY AREA PORTS,CDFW,41.764514,-124.200779,51
Crescent City,CRS,CRESCENT,CRESCENT CITY,CDFW,41.764514,-124.200779,52
Crescent City,ODN,O D NORTE,OTHER DEL NORTE COUNTY PORTS,,41.5324134,-124.0074855,53
Eureka,TRN,TRINIDAD,TRINIDAD,CDFW,41.057708,-124.143255,54
Eureka,ERA,EUREKA,EUREKA AREA PORTS,CDFW,40.793401,-124.155246,55
Eureka,ERK,EUREKA,EUREKA,CDFW,40.793401,-124.155246,56
Eureka,FLN,FIELDS LDG,FIELDS LANDING,CDFW,40.724236,-124.218603,57
Eureka,OHB,O HUMBOLDT,OTHER HUMBOLDT COUNTY PORTS,CDFW,40.579891,-124.261909,58
Morro Bay,MCR,MILL CREEK,MILL CREEK,CDFW,40.402713,-121.550844,59
Fort Bragg,BGA,BRAGG,FORT BRAGG AREA PORTS,CDFW,39.439803,-123.801757,60
Fort Bragg,BRG,FORT BRAGG,FORT BRAGG,CDFW,39.439803,-123.801757,61
Fort Bragg,OMD,O MENDOCNO,OTHER MENDOCINO COUNTY PORTS,CDFW,39.311404,-123.812552,62
Fort Bragg,ALB,ALBION,ALBION,CDFW,39.225327,-123.757586,63
Fort Bragg,ARE,PNT ARENA,POINT ARENA,CDFW,38.912314,-123.695593,64
Bodega Bay,BDA,BODEGA,BODEGA BAY AREA PORTS,CDFW,38.327215,-123.02923,65
Bodega Bay,BDG,BODEGA BAY,BODEGA BAY,CDFW,38.327215,-123.02923,66
Bodega Bay,OSM,O SNMA/MRN,OTHER SONOMA AND MARIN COUNTY OUTER COAST PORTS,CDFW,38.290331,-122.459831,67
Bodega Bay,TML,TOMALES,TOMALES BAY,CDFW,38.24703,-122.905355,68
Bodega Bay,RYS,PT. REYES,POINT REYES,CDFW,38.084647,-122.809226,69
San Francisco,RCH,RICHMOND,RICHMOND,CDFW,37.952278,-122.360609,70
San Francisco,BOL,BOLINAS,BOLINAS,CDFW,37.917725,-122.709502,71
San Francisco,BKL,BERKELEY,BERKELEY,CDFW,37.866972,-122.299147,72
Bodega Bay,SLT,SAUSALITO,SAUSALITO,CDFW,37.858369,-122.491844,73
San Francisco,OAK,OAKLAND,OAKLAND,CDFW,37.769846,-122.22569,74
San Francisco,ALM,ALAMEDA,ALAMEDA,CDFW,37.741911,-122.259914,75
San Francisco,SF,SF,SAN FRANCISCO,CDFW,37.727239,-123.032229,76
San Francisco,SFA,SF,SAN FRANCISCO AREA PORTS,CDFW,37.727239,-123.032229,77
San Francisco,OSF,O SF/SMTEO,OTHER S. F. BAY AND SAN MATEO COUNTY PORTS,CDFW,37.685467,-121.762518,78
San Francisco,PRN,PRINCETON,PRINCETON / HALF MOON BAY,CDFW,37.467319,-122.440485,79
San Diego,OSD,O S DIEGO,OTHER SAN DIEGO COUNTY PORTS,CDFW,37.317705,-122.25843,80
San Diego,SD,SAN DIEGO,SAN DIEGO,CDFW,37.317705,-122.25843,81
San Diego,SDA,DIEGO,SAN DIEGO AREA PORTS,CDFW,37.317705,-122.25843,82
Monterey,BCR,BIG CREEK,BIG CREEK,CDFW,37.203565,-119.248489,83
Monterey,CRZ,SANTA CRUZ,SANTA CRUZ,CDFW,36.974385,-122.0352679,84
Monterey,OCM,O SCRZ/MTR,OTHER SANTA CRUZ AND MONTEREY COUNTY PORTS,CDFW,36.940245,-121.795245,85
Monterey,MOS,MOSS LNDG,MOSS LANDING,CDFW,36.805389,-121.786577,86
Monterey,MNA,MONTEREY,MONTEREY AREA PORTS,CDFW,36.601193,-121.88311,87
Monterey,MNT,MONTEREY,MONTEREY,CDFW,36.601193,-121.88311,88
Morro Bay,SIM,MILL CREEK,SAN SIMEON,CDFW,35.618206,-121.137438,89
Morro Bay,MRA,MORRO,MORRO BAY AREA PORTS,CDFW,35.367289,-120.869205,90
Morro Bay,MRO,MORRO BAY,MORRO BAY,CDFW,35.367289,-120.869205,91
Morro Bay,OSL,O S LUIS,OTHER SAN LUIS OBISPO COUNTY PORTS,CDFW,35.263501,-120.662387,92
Morro Bay,AVL,AVILA,AVILA,CDFW,35.199355,-120.720757,93
Santa Barbara,OBV,O SB/VEN,OTHER SANTA BARBARA AND VENTURA COUNTY PORTS,CDFW,34.435438,-119.858964,94
Santa Barbara,SB,S. BARBARA,SANTA BARBARA,CDFW,34.400601,-119.712955,95
Santa Barbara,SBA,BARBARA,SANTA BARBARA AREA PORTS,CDFW,34.400601,-119.712955,96
Santa Barbara,VEN,VENTURA,VENTURA,CDFW,34.26778,-119.254206,97
Santa Barbara,OXN,OXNARD,OXNARD,CDFW,34.199436,-119.207515,98
Santa Barbara,HNM,PT HUENEME,PORT HUENEME,CDFW,34.162143,-119.204177,99
Los Angeles,LAA,LA,LOS ANGELES AREA PORTS,CDFW,34.019394,-118.410825,100
Los Angeles,OLA,O LA/ORG,Other LA and Orange Cnty Ports,CDFW,34.019394,-118.410825,101
Los Angeles,SP,SAN PEDRO,SAN PEDRO,CDFW,34.019394,-118.410825,102
Los Angeles,TRM,TERMINAL I,TERMINAL ISLAND,CDFW,34.019394,-118.410825,103
Los Angeles,WLM,WILLMNGTN,WILLMINGTON,CDFW,34.019394,-118.410825,104
Los Angeles,LGB,LONG BEACH,LONG BEACH,CDFW,33.77808,-118.167103,105
Los Angeles,NWB,NEWPORT B.,NEWPORT BEACH,CDFW,33.597133,-117.890263,106
Los Angeles,DNA,DANA POINT,DANA POINT,CDFW,33.475452,-117.693087,107
San Diego,OCN,OCEANSIDE,OCEANSIDE,CDFW,33.224601,-117.306291,108
Puget Sound,NPS,N PUGET S,NORTH PUGET SOUND PORTS,WDFW,,,109
Unknown Ports,OCA,OTHER CAL,OTHER OR UNKNOWN CALIFORNIA PORTS,,,,110
Unknown Ports,OOR,,,,,,111
Unknown Ports,OWA,UNKN WASH,OTHER OR UNKNOWN WASHINGTON PORTS,,,,112
Unknown Ports,WAL,,,,,,113
